transaction_id,account_id,account_owner,date,datetime,authorized_date,authorized_datetime,amount,iso_currency_code,unofficial_currency_code,name,merchant_name,merchant_entity_id,logo_url,website,pending,pending_transaction_id,transaction_type,transaction_code,payment_channel,check_number,category,category_id,personal_finance_category,personal_finance_category_icon_url,counterparties,location,payment_meta
VJvr6evMzMHZbeenlPdLtzVjNDZDlQc9WG3rD,kB3kPK3VRVUn8xxeyMQ9fLa5RlRbyEuLnqBMl,,2026-04-11,,2026-04-11,,12,USD,,McDonald's,McDonald's,vzWXDWBjB06j5BJoD3Jo84OJZg7JJzmqOZA22,https://plaid-merchant-logos.plaid.com/mcdonalds_619.png,mcdonalds.com,False,,place,,in store,,,,"{""confidence_level"":""VERY_HIGH"",""detailed"":""FOOD_AND_DRINK_FAST_FOOD"",""primary"":""FOOD_AND_DRINK"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_FOOD_AND_DRINK.png,"[{""confidence_level"":""VERY_HIGH"",""entity_id"":""vzWXDWBjB06j5BJoD3Jo84OJZg7JJzmqOZA22"",""logo_url"":""https://plaid-merchant-logos.plaid.com/mcdonalds_619.png"",""name"":""McDonald's"",""phone_number"":null,""type"":""merchant"",""website"":""mcdonalds.com""}]","{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":""3322""}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
wZMJw7M464S3K11QeyEpsyJqowrwg4SPrnB8M,kB3kPK3VRVUn8xxeyMQ9fLa5RlRbyEuLnqBMl,,2026-04-11,,2026-04-11,,4.33,USD,,Starbucks,Starbucks,NZAJQ5wYdo1W1p39X5q5gpb15OMe39pj4pJBb,https://plaid-merchant-logos.plaid.com/starbucks_956.png,starbucks.com,False,,place,,in store,,,,"{""confidence_level"":""VERY_HIGH"",""detailed"":""FOOD_AND_DRINK_COFFEE"",""primary"":""FOOD_AND_DRINK"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_FOOD_AND_DRINK.png,"[{""confidence_level"":""VERY_HIGH"",""entity_id"":""NZAJQ5wYdo1W1p39X5q5gpb15OMe39pj4pJBb"",""logo_url"":""https://plaid-merchant-logos.plaid.com/starbucks_956.png"",""name"":""Starbucks"",""phone_number"":null,""type"":""merchant"",""website"":""starbucks.com""}]","{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
58P6RQPWXWU93nnkqAbwTWDNr3l3GoF5Zkqmj,kB3kPK3VRVUn8xxeyMQ9fLa5RlRbyEuLnqBMl,,2026-04-10,,2026-04-09,,89.4,USD,,SparkFun,FUN,,,,False,,place,,in store,,,,"{""confidence_level"":""LOW"",""detailed"":""GENERAL_MERCHANDISE_GIFTS_AND_NOVELTIES"",""primary"":""GENERAL_MERCHANDISE"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_GENERAL_MERCHANDISE.png,"[{""confidence_level"":""LOW"",""entity_id"":null,""logo_url"":null,""name"":""FUN"",""phone_number"":null,""type"":""merchant"",""website"":null}]","{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
l3xdjrxwRwfredd9XDA4fzdEJQKQMvcpZPDxK,dbv8BnvyRyUPJnnvRlaGHgkQWMAqL6hJKlwV3,,2026-04-09,,2026-04-09,,-4.22,USD,,INTRST PYMNT,,,,,False,,special,,other,,,,"{""confidence_level"":""LOW"",""detailed"":""TRANSFER_IN_OTHER_TRANSFER_IN"",""primary"":""TRANSFER_IN"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_TRANSFER_IN.png,[],"{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
xM15ye1N6NUWRJJmEzpoTX5Jplrl6wf6nrdZq,4mNGDeNEAECAaZZ8lonrsM45QRrKe8sJz9eGe,,2026-03-30,,,,500,USD,,United Airlines,United Airlines,NKDjqyAdQQzpyeD8qpLnX0D6yvLe2KYKYYzQ4,https://plaid-merchant-logos.plaid.com/united_airlines_1065.png,united.com,False,,special,,in store,,,,"{""confidence_level"":""VERY_HIGH"",""detailed"":""TRAVEL_FLIGHTS"",""primary"":""TRAVEL"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_TRAVEL.png,"[{""confidence_level"":""VERY_HIGH"",""entity_id"":""NKDjqyAdQQzpyeD8qpLnX0D6yvLe2KYKYYzQ4"",""logo_url"":""https://plaid-merchant-logos.plaid.com/united_airlines_1065.png"",""name"":""United Airlines"",""phone_number"":null,""type"":""merchant"",""website"":""united.com""}]","{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
JXv96rv3y3TbzrrMGledUqJMRvbvpDTBdzVPN,kB3kPK3VRVUn8xxeyMQ9fLa5RlRbyEuLnqBMl,,2026-03-28,,2026-03-27,,6.33,USD,,Uber 072515 SF**POOL**,Uber,eyg8o776k0QmNgVpAmaQj4WgzW9Qzo6O51gdd,https://plaid-merchant-logos.plaid.com/uber_1060.png,uber.com,False,,special,,online,,,,"{""confidence_level"":""VERY_HIGH"",""detailed"":""TRANSPORTATION_TAXIS_AND_RIDE_SHARES"",""primary"":""TRANSPORTATION"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_TRANSPORTATION.png,"[{""confidence_level"":""VERY_HIGH"",""entity_id"":""eyg8o776k0QmNgVpAmaQj4WgzW9Qzo6O51gdd"",""logo_url"":""https://plaid-merchant-logos.plaid.com/uber_1060.png"",""name"":""Uber"",""phone_number"":null,""type"":""merchant"",""website"":""uber.com""}]","{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
wZMJw7M464S3K11QeyEpsyJWZKvLnvfPBxQGZ,4mNGDeNEAECAaZZ8lonrsM45QRrKe8sJz9eGe,,2026-03-25,,,,500,USD,,Tectra Inc,,,,,False,,place,,in store,,,,"{""confidence_level"":""LOW"",""detailed"":""RENT_AND_UTILITIES_INTERNET_AND_CABLE"",""primary"":""RENT_AND_UTILITIES"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_RENT_AND_UTILITIES.png,[],"{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
kB3kPK3VRVUn8xxeyMQ9fLazlQ7M47cLyem9b,4mNGDeNEAECAaZZ8lonrsM45QRrKe8sJz9eGe,,2026-03-24,,,,2078.5,USD,,AUTOMATIC PAYMENT - THANK,,,,,False,,special,,online,,,,"{""confidence_level"":""LOW"",""detailed"":""LOAN_PAYMENTS_OTHER_PAYMENT"",""primary"":""LOAN_PAYMENTS"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_LOAN_PAYMENTS.png,[],"{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
JXv96rv3y3TbzrrMGledUqJN9Aka3khBVvnAD,4mNGDeNEAECAaZZ8lonrsM45QRrKe8sJz9eGe,,2026-03-24,,,,500,USD,,KFC,KFC,3LmdknrdwVy9vm0dqj417rLKeJXW7veV7eb2e,https://plaid-merchant-logos.plaid.com/kfc_546.png,kfc.com,False,,place,,in store,,,,"{""confidence_level"":""VERY_HIGH"",""detailed"":""FOOD_AND_DRINK_FAST_FOOD"",""primary"":""FOOD_AND_DRINK"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_FOOD_AND_DRINK.png,"[{""confidence_level"":""VERY_HIGH"",""entity_id"":""3LmdknrdwVy9vm0dqj417rLKeJXW7veV7eb2e"",""logo_url"":""https://plaid-merchant-logos.plaid.com/kfc_546.png"",""name"":""KFC"",""phone_number"":null,""type"":""merchant"",""website"":""kfc.com""}]","{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
58P6RQPWXWU93nnkqAbwTWDyVqbgBbT5qA6vr,4mNGDeNEAECAaZZ8lonrsM45QRrKe8sJz9eGe,,2026-03-24,,,,500,USD,,Madison Bicycle Shop,,,,,False,,place,,in store,,,,"{""confidence_level"":""LOW"",""detailed"":""TRANSPORTATION_BIKES_AND_SCOOTERS"",""primary"":""TRANSPORTATION"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_TRANSPORTATION.png,[],"{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
enl13kl9R9Tp4JJomPvrSKonpjXyP5irolxjX,dbv8BnvyRyUPJnnvRlaGHgkQWMAqL6hJKlwV3,,2026-03-15,,2026-03-14,,25,USD,,CREDIT CARD 3333 PAYMENT *//,,,,,False,,special,,other,,,,"{""confidence_level"":""HIGH"",""detailed"":""LOAN_PAYMENTS_CREDIT_CARD_PAYMENT"",""primary"":""LOAN_PAYMENTS"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_LOAN_PAYMENTS.png,[],"{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
oa49Q34K6KtZemmbWk6jtBynmJNRK6foWnvel,kB3kPK3VRVUn8xxeyMQ9fLa5RlRbyEuLnqBMl,,2026-03-15,,2026-03-14,,5.4,USD,,Uber 063015 SF**POOL**,Uber,eyg8o776k0QmNgVpAmaQj4WgzW9Qzo6O51gdd,https://plaid-merchant-logos.plaid.com/uber_1060.png,uber.com,False,,special,,online,,,,"{""confidence_level"":""VERY_HIGH"",""detailed"":""TRANSPORTATION_TAXIS_AND_RIDE_SHARES"",""primary"":""TRANSPORTATION"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_TRANSPORTATION.png,"[{""confidence_level"":""VERY_HIGH"",""entity_id"":""eyg8o776k0QmNgVpAmaQj4WgzW9Qzo6O51gdd"",""logo_url"":""https://plaid-merchant-logos.plaid.com/uber_1060.png"",""name"":""Uber"",""phone_number"":null,""type"":""merchant"",""website"":""uber.com""}]","{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
6Djd5ZjAkAs1x668KAkeUzRJnbk3eku8VpzJ5,NXvg6xv4L4TRrxxoqzleSyGjeZNn3LsydovR3,,2026-03-14,,,,5850,USD,,ACH Electronic CreditGUSTO PAY 123456,,,,,False,,special,,online,,,,"{""confidence_level"":""HIGH"",""detailed"":""TRANSFER_OUT_ACCOUNT_TRANSFER"",""primary"":""TRANSFER_OUT"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_TRANSFER_OUT.png,[],"{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":""ACH"",""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
NXvg6xv4L4TRrxxoqzleSyGNq7LW4LfyPqVvr,aDv9KWvnRnsD8WW57d3QfN3M75GPzvfZwoqyW,,2026-03-14,,,,1000,USD,,CD DEPOSIT .INITIAL.,,,,,False,,special,,other,,,,"{""confidence_level"":""LOW"",""detailed"":""TRANSFER_OUT_ACCOUNT_TRANSFER"",""primary"":""TRANSFER_OUT"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_TRANSFER_OUT.png,[],"{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
l3xdjrxwRwfredd9XDA4fzdjVlB71BupDeM4X,4mNGDeNEAECAaZZ8lonrsM45QRrKe8sJz9eGe,,2026-03-13,,2026-03-12,,78.5,USD,,Touchstone Climbing,,,,,False,,place,,in store,,,,"{""confidence_level"":""LOW"",""detailed"":""PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS"",""primary"":""PERSONAL_CARE"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_PERSONAL_CARE.png,[],"{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
gqKkdyKRDRF8ZAAwJNPBfZBkNEmawncEvQypb,kB3kPK3VRVUn8xxeyMQ9fLa5RlRbyEuLnqBMl,,2026-03-13,,2026-03-13,,-500,USD,,United Airlines,United Airlines,NKDjqyAdQQzpyeD8qpLnX0D6yvLe2KYKYYzQ4,https://plaid-merchant-logos.plaid.com/united_airlines_1065.png,united.com,False,,special,,in store,,,,"{""confidence_level"":""VERY_HIGH"",""detailed"":""TRAVEL_FLIGHTS"",""primary"":""TRAVEL"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_TRAVEL.png,"[{""confidence_level"":""VERY_HIGH"",""entity_id"":""NKDjqyAdQQzpyeD8qpLnX0D6yvLe2KYKYYzQ4"",""logo_url"":""https://plaid-merchant-logos.plaid.com/united_airlines_1065.png"",""name"":""United Airlines"",""phone_number"":null,""type"":""merchant"",""website"":""united.com""}]","{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
8XeqA1enonTPq99lzr8vHKyDPlv7aniWkVNon,kB3kPK3VRVUn8xxeyMQ9fLa5RlRbyEuLnqBMl,,2026-03-12,,2026-03-12,,12,USD,,McDonald's,McDonald's,vzWXDWBjB06j5BJoD3Jo84OJZg7JJzmqOZA22,https://plaid-merchant-logos.plaid.com/mcdonalds_619.png,mcdonalds.com,False,,place,,in store,,,,"{""confidence_level"":""VERY_HIGH"",""detailed"":""FOOD_AND_DRINK_FAST_FOOD"",""primary"":""FOOD_AND_DRINK"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_FOOD_AND_DRINK.png,"[{""confidence_level"":""VERY_HIGH"",""entity_id"":""vzWXDWBjB06j5BJoD3Jo84OJZg7JJzmqOZA22"",""logo_url"":""https://plaid-merchant-logos.plaid.com/mcdonalds_619.png"",""name"":""McDonald's"",""phone_number"":null,""type"":""merchant"",""website"":""mcdonalds.com""}]","{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":""3322""}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
EXGvbyGqLqT49AAjrGmbUgPdDVq3XWi4pP6nB,kB3kPK3VRVUn8xxeyMQ9fLa5RlRbyEuLnqBMl,,2026-03-12,,2026-03-12,,4.33,USD,,Starbucks,Starbucks,NZAJQ5wYdo1W1p39X5q5gpb15OMe39pj4pJBb,https://plaid-merchant-logos.plaid.com/starbucks_956.png,starbucks.com,False,,place,,in store,,,,"{""confidence_level"":""VERY_HIGH"",""detailed"":""FOOD_AND_DRINK_COFFEE"",""primary"":""FOOD_AND_DRINK"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_FOOD_AND_DRINK.png,"[{""confidence_level"":""VERY_HIGH"",""entity_id"":""NZAJQ5wYdo1W1p39X5q5gpb15OMe39pj4pJBb"",""logo_url"":""https://plaid-merchant-logos.plaid.com/starbucks_956.png"",""name"":""Starbucks"",""phone_number"":null,""type"":""merchant"",""website"":""starbucks.com""}]","{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
WnvzVQv1B1TMNQQdw6aBswbavD1xRGT6J7Bz9,kB3kPK3VRVUn8xxeyMQ9fLa5RlRbyEuLnqBMl,,2026-03-11,,2026-03-10,,89.4,USD,,SparkFun,FUN,,,,False,,place,,in store,,,,"{""confidence_level"":""LOW"",""detailed"":""GENERAL_MERCHANDISE_GIFTS_AND_NOVELTIES"",""primary"":""GENERAL_MERCHANDISE"",""version"":""v2""}",https://plaid-category-icons.plaid.com/PFC_GENERAL_MERCHANDISE.png,"[{""confidence_level"":""LOW"",""entity_id"":null,""logo_url"":null,""name"":""FUN"",""phone_number"":null,""type"":""merchant"",""website"":null}]","{""address"":null,""city"":null,""country"":null,""lat"":null,""lon"":null,""postal_code"":null,""region"":null,""store_number"":null}","{""by_order_of"":null,""payee"":null,""payer"":null,""payment_method"":null,""payment_processor"":null,""ppd_id"":null,""reason"":null,""reference_number"":null}"
